model,train_grid,test_grid,unseen,nrmse,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta
transformer,UK,IEEE24,True,0.195193812251091,0.12000569701194763,0.18191510438919067,10.451606750488281,0.21130189299583435
transformer,UK,IEEE39,True,0.13969123363494873,0.09176567941904068,0.11186648160219193,13.50677490234375,0.3777884840965271
transformer,UK,IEEE118,True,0.10831208527088165,0.07539830356836319,0.06328242272138596,2.696946859359741,0.5509804487228394
transformer,UK,UK,False,0.008321711793541908,0.002742014592513442,0.01416904479265213,82.87116241455078,0.14315970242023468
nnconv,IEEE24,IEEE24,False,0.012093906290829182,0.0017456244677305222,0.02209664322435856,1.3889439105987549,0.04629114270210266
nnconv,IEEE24,IEEE39,True,0.23408423364162445,0.08897994458675385,0.23304791748523712,38.995269775390625,2.040593147277832
nnconv,IEEE24,IEEE118,True,0.1016910970211029,0.06940484791994095,0.06521635502576828,3.893803834915161,0.5181635022163391
nnconv,IEEE24,UK,True,0.1488351672887802,0.09071548283100128,0.11693281680345535,475.6498107910156,3.7790331840515137
nnconv,IEEE39,IEEE24,True,0.15821398794651031,0.10270456969738007,0.10978072136640549,22.72081756591797,0.3795633018016815
nnconv,IEEE39,IEEE39,False,0.022936655208468437,0.011305238120257854,0.02328888699412346,1.6321650743484497,0.0648951455950737
nnconv,IEEE39,IEEE118,True,0.1033066064119339,0.069886215031147,0.06671177595853806,5.153566360473633,0.6011943221092224
nnconv,IEEE39,UK,True,0.14796291291713715,0.08996496349573135,0.12345191091299057,258.96038818359375,1.6540013551712036
nnconv,IEEE118,IEEE24,True,1.5067144632339478,0.10392085462808609,1.9295278787612915,61.874515533447266,18.194440841674805
nnconv,IEEE118,IEEE39,True,17.1420955657959,1.8628178834915161,21.264339447021484,35.99100112915039,10.911274909973145
nnconv,IEEE118,IEEE118,False,0.0060040769167244434,0.0019211104372516274,0.007897082716226578,0.1985367387533188,0.03746313229203224
nnconv,IEEE118,UK,True,2.2637887001037598,0.10268275439739227,4.2681379318237305,1141.3656005859375,109.98538208007812
nnconv,UK,IEEE24,True,0.3364464044570923,0.10494857281446457,0.5776156783103943,64.93294525146484,0.4445843994617462
nnconv,UK,IEEE39,True,0.6876513957977295,0.5753887295722961,0.2254098504781723,53.821693420410156,0.48892033100128174
nnconv,UK,IEEE118,True,0.10679084062576294,0.06965196132659912,0.07994306087493896,4.819192886352539,0.5509845018386841
nnconv,UK,UK,False,0.011062783189117908,0.006081707309931517,0.012532672844827175,39.444461822509766,0.05220848694443703
