model,grid,seed,regime,num_layers,hidden,learning_rate,normalize,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gat,UK,0,A,2,128,0.001,pu_zscore,0.0003487684007268,28.80293655395508,1.8431675434112549,0.0001092435413738,0.0006917146383784,0.0005468659219332,0.0011393295135349,27.30517196655273,87.87025451660156,2.5373597667410763e-10,0.0363033674657344,0.7925589084625244,6.476128101348877,3.93357777284109e-06,0.1039792299270629
gat,UK,100,A,2,128,0.001,pu_zscore,0.0002434231719234,14.030925750732422,1.0283446311950684,0.0001025120654958,0.0004178207018412,0.0005276458687148,0.0008364494424313,24.043811798095703,32.06032180786133,2.362138817879611e-10,0.0195671524852514,0.7415974140167236,3.273106098175049,5.003008482162841e-06,0.0986699983477592
gat,UK,300,A,2,128,0.001,pu_zscore,0.0004135254130233,40.49177932739258,1.4123539924621582,0.0002352192532271,0.0004387133812997,0.0004448286199476,0.001042740419507,126.58992767333984,35.346771240234375,1.6788261059108578e-10,0.0304088965058326,1.9696061611175537,3.5659799575805664,3.983028818765888e-06,0.113825187087059
gat,UK,700,A,2,128,0.001,pu_zscore,0.0004224812728352,42.2646598815918,1.496666431427002,0.0002048174646915,0.0006306490395218,0.0005115101812407,0.0011457653017714,95.98147583007812,73.04044342041016,2.2198766436165582e-10,0.036714669317007,1.3958618640899658,4.478904247283936,4.83403937323601e-06,0.1118940711021423
gat,UK,1000,A,2,128,0.001,pu_zscore,0.0002123685990227,10.679306983947754,1.070776104927063,6.0193655372131616e-05,0.0004328682844061,0.0002751605643425,0.000757465197239,8.290005683898926,34.411170959472656,6.42381078885812e-11,0.0160462521016597,0.4005447626113891,3.800429105758667,2.2098113277024822e-06,0.0821285992860794
gcn,IEEE24,0,A,2,128,0.001,pu_zscore,0.0008031661855056,0.3558539748191833,0.1016450226306915,0.000464244687464,0.0008666045032441,0.0015014079399406,0.0012232848675921,1.0582396984100342,0.3591654002666473,2.7378513678399944e-08,0.0060108583420515,0.1513717323541641,0.2067354470491409,9.395778033649548e-05,0.0483789630234241
gcn,IEEE24,100,A,2,128,0.001,pu_zscore,0.00067445874447,0.2509410679340362,0.0861203670501709,0.0003739111998584,0.0008067052694968,0.0009209674899466,0.0012277378700673,0.6864787340164185,0.3112306594848633,1.0301515196431412e-08,0.0060547003522515,0.1079870387911796,0.1938086301088333,4.656640157918446e-05,0.0426392592489719
gcn,IEEE24,300,A,2,128,0.001,pu_zscore,0.0007920241332612,0.3460491597652435,0.0993790552020073,0.0004709855711553,0.0007765842601656,0.0013643959537148,0.001279842457734,1.0891941785812378,0.2884228825569153,2.2609624394931416e-08,0.0065795220434665,0.1586991548538208,0.1900026202201843,8.163221355061978e-05,0.0487328208982944
gcn,IEEE24,700,A,2,128,0.001,pu_zscore,0.0006554055726155,0.2369634062051773,0.1081748455762863,0.0003784295986406,0.0007053173612803,0.0009741731337271,0.0012981039471924,0.7031699419021606,0.237914964556694,1.1526163135044952e-08,0.0067686215043067,0.1530263423919677,0.2264949232339859,5.15617175551597e-05,0.0531265698373317
gcn,IEEE24,1000,A,2,128,0.001,pu_zscore,0.0520626492798328,1495.2489013671875,5.275701522827148,0.032169971615076,0.0431882552802562,0.0252117589116096,0.0430987477302551,5081.49560546875,892.0391845703125,7.720026587776374e-06,7.461233139038086,12.309667587280272,7.511511325836182,0.0010014672297984,1.2806276082992554
