model,grid,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gin,IEEE39,100,A,3,128,0.001,0.012794136069715,248.9527740478516,1.531572699546814,0.0004392768023535,0.016460133716464,0.7702474594116211,0.0239483229815959,1.643069863319397,987.7728271484376,0.038003459572792,6.357306480407715,0.1425344944000244,4.896032810211182,0.1314428299665451,0.9562800526618958
gin,IEEE39,300,A,3,128,0.001,0.0129236252978444,254.0175628662109,1.852541446685791,0.0007820745231583,0.0165571495890617,0.8454914093017578,0.0320209115743637,5.208057403564453,999.4509887695312,0.0457910820841789,11.365544319152832,0.231067806482315,5.324923038482666,0.1311260908842086,1.7230491638183594
gin,IEEE39,700,A,3,128,0.001,0.0130604719743132,259.42559814453125,1.6849521398544312,0.0006947482470422,0.0167820155620574,0.5687678456306458,0.0247482322156429,4.109930038452148,1026.7828369140625,0.0207220464944839,6.789084434509277,0.2996322214603424,5.234097957611084,0.084809198975563,1.121269464492798
gin,IEEE39,1000,A,3,128,0.001,0.0128855872899293,252.5244598388672,1.6413905620574951,0.0007669598562642,0.0165495127439498,0.6717612147331238,0.0242734532803297,5.008696556091309,998.5291748046876,0.0289062950760126,6.531096458435059,0.3460076153278351,5.155610084533691,0.1036137044429779,0.9603307843208312
gin,IEEE118,0,A,3,128,0.001,0.0015959575539454,14.349166870117188,0.9336169958114624,0.0003085736825596,0.0019950896967202,0.4297244846820831,0.0212621744722127,3.6270053386688232,39.32805633544922,0.0081158690154552,14.43349838256836,0.1446514576673507,1.3034847974777222,0.0524644926190376,2.2338674068450928
gin,IEEE118,100,A,3,128,0.001,0.0011803113156929,7.84832763671875,0.6705563068389893,0.0005979354609735,0.0009332812624052,0.2889064252376556,0.0169427338987588,13.618807792663574,8.606026649475098,0.003668338060379,9.164806365966797,0.3341865241527557,0.8718218803405762,0.0357082523405551,1.4405086040496826
gin,IEEE118,300,A,3,128,0.001,0.0008528802427463,4.097888469696045,0.500809371471405,0.0002114248054567,0.0007524935645051,0.3511647880077362,0.0168721806257963,1.7027164697647097,5.594782829284668,0.0054197204299271,9.08863639831543,0.1041726768016815,0.6482990980148315,0.0433758720755577,1.2073898315429688
gin,IEEE118,700,A,3,128,0.001,0.001252991030924,8.844635963439941,0.7561989426612854,0.0003108420351054,0.001403636066243,0.2604715228080749,0.0195708684623241,3.6805262565612793,19.46644401550293,0.0029817782342433,12.228592872619627,0.1454275548458099,0.944560706615448,0.0318845994770526,1.9029231071472168
gin,IEEE118,1000,A,3,128,0.001,0.0010246585588902,5.914830684661865,0.6922938227653503,0.0001954844628926,0.0010274001397192,0.2933619916439056,0.0192008446902036,1.4556431770324707,10.429341316223145,0.0037823573220521,11.770554542541504,0.0933940708637237,0.9260450005531312,0.0361339226365089,1.7136023044586182
gin,UK,0,A,3,128,0.001,0.0008867336437106,186.1867828369141,4.39400577545166,0.0003681394446175,0.0013365650083869,27.357837677001957,0.0615520551800727,310.0830993652344,328.0711669921875,0.6350148320198059,105.95790100097656,3.048912048339844,7.630387783050537,0.2505993545055389,6.646121501922607
