model,train_grid,test_grid,unseen,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
transformer,IEEE39,IEEE39,False,700,B,2,128,0.001,0.021417086943984,744.8938598632812,4.580404281616211,0.0095358444377779,0.0227335821837186,0.6224139928817749,0.057594034820795,784.6849365234375,2145.4384765625,0.0299046952277421,49.42189407348633,2.0602011680603027,11.572998046875,0.1025828793644905,4.585836887359619
transformer,IEEE39,IEEE118,True,700,B,2,128,0.001,0.1024477258324623,60303.86328125,48.68230056762695,0.0694983825087547,0.066358096897602,1.9915473461151123,0.5613436698913574,185758.09375,45274.1875,0.2401357889175415,10182.958984375,39.25378036499024,60.235469818115234,0.3302984535694122,94.90963745117188
transformer,IEEE39,UK,True,700,B,2,128,0.001,0.1543804854154586,6455787.0,698.83349609375,0.0895434394478797,0.1472737044095993,539.7548828125,4.06543493270874,19168806.0,6087195.5,460.624755859375,566689.25,749.8153686523438,1519.376953125,6.37877893447876,519.7628784179688
transformer,IEEE39,IEEE24,True,1000,B,2,128,0.001,0.1866500973701477,20446.08984375,38.12340927124024,0.1028855070471763,0.2173728495836258,4.006340980529785,0.4487434029579162,50005.97265625,30005.439453125,0.3527252972126007,1772.606201171875,43.713226318359375,74.17628479003906,0.3230581283569336,34.28105545043945
transformer,IEEE39,IEEE39,False,1000,B,2,128,0.001,0.0227366928011178,839.5145263671875,4.46972131729126,0.0108609469607472,0.0234939344227314,0.5211635231971741,0.0572115778923034,1017.9170532226562,2291.352294921875,0.0209666322916746,48.7677001953125,1.9362379312515257,11.369140625,0.0828717723488807,4.490636825561523
transformer,IEEE39,IEEE118,True,1000,B,2,128,0.001,0.1025983691215515,60481.33984375,49.31190490722656,0.0693949684500694,0.0669545009732246,1.7345750331878662,0.5734745264053345,185205.71875,46091.66015625,0.1821636855602264,10627.8310546875,39.192649841308594,61.04557037353516,0.2971318960189819,96.71228790283205
transformer,IEEE39,UK,True,1000,B,2,128,0.001,0.1507927924394607,6159216.0,586.5814208984375,0.0926511138677597,0.1138404980301857,143.79351806640625,3.73086166381836,20522436.0,3637143.25,32.69133377075195,477253.65625,777.7399291992188,1062.0294189453125,1.9886839389801023,504.5677490234375
transformer,IEEE118,IEEE24,True,0,B,2,128,0.001,1.4582113027572632,1247942.875,514.9136352539062,0.1089926436543464,1.1287896633148191,45.16300582885742,21.651203155517575,56118.7265625,809124.75,44.82357406616211,4126483.75,46.55019378662109,484.97015380859375,3.1886940002441406,1524.9456787109375
transformer,IEEE118,IEEE39,True,0,B,2,128,0.001,1.251747965812683,2544529.0,674.268310546875,0.0923292115330696,0.5783278346061707,29.73346328735352,24.186744689941406,73562.296875,1388444.5,68.2451171875,8716041.0,41.78731155395508,522.7630615234375,4.8724284172058105,2127.650634765625
transformer,IEEE118,IEEE118,False,0,B,2,128,0.001,0.0054951035417616,173.49710083007812,2.2077016830444336,0.0015741480747237,0.0073057576082646,0.4394206404685974,0.0392968654632568,95.29927825927734,548.7737426757812,0.0116905914619565,49.90363693237305,0.4421325027942657,4.266532897949219,0.0583693906664848,4.063772678375244
transformer,IEEE118,UK,True,0,B,2,128,0.001,1.301386833190918,458751104.0,10433.640625,0.0988438427448272,1.0244334936141968,2419.806640625,210.3498992919922,23357524.0,294533280.0,9257.9609375,1517104512.0,841.8153686523438,11162.01171875,32.712181091308594,29698.02734375
transformer,IEEE118,IEEE24,True,100,B,2,128,0.001,2.6225948333740234,4036604.5,536.6096801757812,0.083451971411705,4.8058247566223145,12.186830520629885,12.82140064239502,32899.30078125,14666457.0,3.263791561126709,1447061.5,34.760353088378906,1372.8450927734375,0.9360151886940002,737.897216796875
transformer,IEEE118,IEEE39,True,100,B,2,128,0.001,7.534629821777344,92192896.0,2300.914306640625,0.0894498974084854,9.409957885742188,29.58959579467773,8.667291641235352,69045.703125,367583232.0,67.5863037109375,1119260.75,40.37550354003906,8432.6318359375,3.610807180404663,727.0382080078125
transformer,IEEE118,IEEE118,False,100,B,2,128,0.001,0.004487722646445,115.71575164794922,2.124523401260376,0.0014577399706467,0.0057172272354364,0.3739723563194275,0.0373393893241882,81.7256851196289,336.07305908203125,0.0084674879908561,45.05580520629883,0.4877420663833618,4.075756072998047,0.0524177588522434,3.882177591323853
transformer,IEEE118,UK,True,100,B,2,128,0.001,2.255446195602417,1377936768.0,11175.0712890625,0.086714006960392,3.967120409011841,566.5769653320312,177.22134399414062,17976542.0,4416900608.0,507.5419006347656,1076869376.0,728.9374389648438,24125.64453125,7.815335273742676,19837.890625
transformer,IEEE118,IEEE24,True,300,B,2,128,0.001,0.7190786004066467,303463.53125,237.22210693359372,0.1127902120351791,0.7904469966888428,13.466104507446287,9.273335456848145,60097.48046875,396766.4375,3.9849674701690674,756986.375,48.27444076538086,301.8246459960937,1.1234509944915771,597.665771484375
transformer,IEEE118,IEEE39,True,300,B,2,128,0.001,0.4442251920700073,320464.53125,236.07179260253903,0.0894303247332573,0.4068518877029419,24.21138572692871,5.939694404602051,69015.4921875,687152.3125,45.25014114379883,525645.125,40.36986541748047,341.67901611328125,3.835358142852783,558.4029541015625
transformer,IEEE118,IEEE118,False,300,B,2,128,0.001,0.0074720690026879,320.7910461425781,4.68923807144165,0.0020133114885538,0.0091629512608051,0.7967400550842285,0.0903828889131546,155.8907470703125,863.2440795898438,0.038433413952589,263.9908752441406,0.716915488243103,6.744278907775879,0.1134139895439148,11.182343482971191
transformer,IEEE118,UK,True,300,B,2,128,0.001,0.7026426196098328,133731392.0,5099.0634765625,0.2304497510194778,0.5004860758781433,539.974609375,99.23745727539062,126963832.0,70299280.0,460.999755859375,337661984.0,1935.9986572265625,5111.00634765625,7.774933815002441,13341.47265625
