model,held_out_grid,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gin,IEEE118,1000,B,3,128,0.001,0.1029877364635467,60941.265625,50.76465225219727,0.0694848746061325,0.0672000795602798,2.290440797805786,0.6003791689872742,185685.9375,46430.39453125,0.3176243603229522,11648.4375,39.24376678466797,61.69161987304688,0.3819698393344879,101.74124145507812
gin,UK,0,B,3,128,0.001,0.1815818101167678,8931184.0,1057.3272705078125,0.0896723717451095,0.1508079916238784,542.228515625,17.177818298339844,19224050.0,6382862.5,464.8563232421875,10117354.0,751.2249755859375,1498.827392578125,7.025753021240234,1972.2308349609373
gin,UK,100,B,3,128,0.001,0.1772103756666183,8506338.0,1098.2886962890625,0.0899948328733444,0.1892592012882232,623.1395874023438,11.594778060913086,19362558.0,10052657.0,613.9382934570312,4609520.5,753.7868041992188,2203.82177734375,8.393486976623535,1427.1527099609375
gin,UK,300,B,3,128,0.001,0.4590658247470855,57083976.0,1832.8587646484373,0.0893844366073608,0.8558154702186584,570.1658935546875,10.360041618347168,19100792.0,205554544.0,513.9921875,3680051.5,741.2556762695312,5365.1748046875,6.946572780609131,1218.0582275390625
gin,UK,700,B,3,128,0.001,0.2818545699119568,21518622.0,1476.951171875,0.0900759100914001,0.4695518612861633,791.6712036132812,11.82990264892578,19397462.0,61877672.0,990.9318237304688,4798365.0,755.8927001953125,3788.82275390625,8.795328140258789,1354.29443359375
gin,UK,1000,B,3,128,0.001,0.193561241030693,10148482.0,1162.3155517578125,0.0888664871454238,0.2523210346698761,425.8220825195313,10.590594291687012,18880070.0,17867908.0,286.6885681152344,3845666.5,744.6058349609375,2577.688232421875,5.435815334320068,1321.5322265625
transformer,IEEE24,0,B,2,128,0.001,0.37747722864151,83624.8359375,53.75310897827149,0.2454887628555297,0.2765568792819977,7.837738513946533,0.3747363686561584,284692.90625,48568.90625,1.3499644994735718,1236.140380859375,107.1974868774414,81.48882293701172,0.5689683556556702,25.757137298583984
transformer,IEEE24,100,B,2,128,0.001,0.1596092283725738,14950.986328125,28.02484130859375,0.0538245812058448,0.2650927007198334,2.7570931911468506,0.4117165505886078,13685.943359375,44625.6875,0.1670489460229873,1492.1507568359375,19.60036849975586,65.60971069335938,0.2664996385574341,26.6227970123291
transformer,IEEE24,300,B,2,128,0.001,0.1532396823167801,13781.4931640625,26.24467086791992,0.1011060699820518,0.0901124104857444,3.907200574874878,0.4365918338298797,48291.19140625,5156.5419921875,0.3354843556880951,1677.90478515625,42.89030075073242,33.73835754394531,0.304434597492218,28.04559326171875
transformer,IEEE24,700,B,2,128,0.001,0.1167476549744606,7999.26513671875,27.076732635498047,0.068587876856327,0.1120692119002342,1.6424719095230105,0.4519644379615783,22223.27734375,7975.57568359375,0.059283897280693,1798.1444091796875,28.826587677001957,45.52054977416992,0.128200963139534,33.83159637451172
transformer,IEEE24,1000,B,2,128,0.001,0.1543508470058441,13982.08203125,26.82914161682129,0.0949109196662902,0.1412538290023803,5.1138105392456055,0.2825671732425689,42554.52734375,12670.3857421875,0.5746853947639465,702.8447875976562,39.21455383300781,47.01304626464844,0.4629997909069061,20.6259765625
transformer,IEEE39,0,B,2,128,0.001,0.1445421427488327,33928.33203125,49.79161071777344,0.0920064821839332,0.1048604696989059,4.941741943359375,1.0686888694763184,73048.921875,45646.12890625,1.8851276636123655,17016.375,41.58111190795898,63.83437728881836,0.7931563854217529,92.95780181884766
transformer,IEEE39,100,B,2,128,0.001,0.1462519317865371,34735.76171875,53.528263092041016,0.0982136279344558,0.092919260263443,4.533110618591309,1.1545857191085815,83237.7734375,35841.96484375,1.5862557888031006,19861.712890625,44.65858840942383,73.36481475830078,0.81081223487854,95.27883911132812
transformer,IEEE39,300,B,2,128,0.001,0.1414096802473068,32473.703125,50.060394287109375,0.0903990417718887,0.1102489307522773,6.315560817718506,0.7735356688499451,70518.7578125,50457.89453125,3.078963279724121,8915.0771484375,40.82309722900391,82.80630493164062,0.791796088218689,75.82037353515625
transformer,IEEE39,700,B,2,128,0.001,0.160703495144844,41939.59765625,54.13370513916016,0.1117152720689773,0.1037343069911003,6.547900199890137,1.0162527561187744,107696.625,44670.9453125,3.3096706867218018,15387.4951171875,50.5438117980957,70.07579803466797,1.1679871082305908,94.74723052978516
transformer,IEEE39,1000,B,2,128,0.001,0.1477905660867691,35470.4765625,50.71026611328125,0.0892894566059112,0.1187293082475662,5.107369422912598,0.988643229007721,68798.2421875,58518.90625,2.0136091709136963,14562.7568359375,40.29238128662109,74.05287170410156,0.7234967350959778,87.77232360839844
transformer,IEEE118,0,B,2,128,0.001,0.1026911810040474,60590.80859375,49.876590728759766,0.0694182962179184,0.0670587792992591,1.8316105604171755,0.5780321359634399,185330.25,46235.34765625,0.2031149417161941,10797.4287109375,39.2058219909668,61.87772750854492,0.2892753183841705,98.13353729248048
transformer,IEEE118,100,B,2,128,0.001,0.1028003469109535,60719.703125,51.0898323059082,0.0692633911967277,0.0672660246491432,0.7914842367172241,0.6056310534477234,184504.0625,46521.5625,0.0379280187189579,11853.1201171875,39.11563491821289,61.9808464050293,0.1339386254549026,103.12889862060548
